Saturation	Normal	Normální
SceneCaptureType	Landscape	Krajina
SceneCaptureType	Night	Noční foto
SceneCaptureType	Portrait	Portrét
SceneMode	Aperture Priority	Priorita clony
SceneMode	Landscape	Krajina
SceneMode	Macro	Makro
SceneMode	Manual	Manuální
SceneMode	Normal	Normální
SceneMode	Portrait	Portrét
SceneMode	Shutter Priority	Priorita času
SceneMode	Spot	Středový bod
SceneMode	Sunset	Západ
SceneModeUsed	Aperture Priority	Priorita clony
SceneModeUsed	Landscape	Krajina
SceneModeUsed	Macro	Makro
SceneModeUsed	Manual	Manuální
SceneModeUsed	Portrait	Portrét
SceneModeUsed	Shutter Priority	Priorita času
SceneSelect	Night	Noční foto
SceneType	Directly photographed	Přímo pořízený snímek
SecurityClassification	Confidential	Důvěrný
SecurityClassification	Restricted	Vyhrazený
SecurityClassification	Secret	Tajný
SecurityClassification	Top Secret	Velmi tajný
SecurityClassification	Unclassified	Neurčeno
SensingMethod	Color sequential area	Barevný sekvenční plošný sensor
SensingMethod	Color sequential linear	Barevný sekvenčné-lineární senzor
SensingMethod	Monochrome area	Monochromatický senzor
SensingMethod	Monochrome linear	Monochromatický lineární senzor
SensingMethod	Not defined	Nedefinovaný
SensingMethod	One-chip color area	Jednočipový barevný senzor
SensingMethod	Three-chip color area	Tříčipový barevný senzor
SensingMethod	Trilinear	Třílineární senzor
SensingMethod	Two-chip color area	Dvoučipový barevný senzor
SequentialShot	None	Žádná
SetButtonCrossKeysFunc	Normal	Normální
Sharpness	Hard	Silné
Sharpness	Normal	Normální
Sharpness	Soft	Lehké
SharpnessFrequency	Low	Méně
ShootingMode	Aperture Priority	Priorita clony
ShootingMode	Macro	Makro
ShootingMode	Manual	Manuální
ShootingMode	Normal	Normální
ShootingMode	Portrait	Portrét
ShootingMode	Shutter Priority	Priorita času
ShootingMode	Spot	Středový bod
ShutterMode	Aperture Priority	Priorita clony
SlowShutter	None	Žádná
SpecialEffectsOpticalFilter	None	Žádná
SubjectDistanceRange	Close	Blízký
SubjectDistanceRange	Distant	Vzdálený
SubjectDistanceRange	Macro	Makro
SubjectDistanceRange	Unknown	Neznámý
SubjectProgram	None	Žádná
SubjectProgram	Portrait	Portrét
Subsystem	Unknown	Neznámý
Teleconverter	None	Žádná
TimeScaleParamsQuality	Low	Méně
ToneCurve	Manual	Manuální
ToningEffect	None	Žádná
ToningEffectMonochrome	None	Žádná
Transformation	Horizontal (normal)	0° (nahoru/vlevo)
Transformation	Mirror horizontal	0° (nahoru/vpravo)
Transformation	Mirror horizontal and rotate 270 CW	90° po směru HR (vlevo/nahoru)
Transformation	Mirror horizontal and rotate 90 CW	90° ptoti směru HR (vpravo/dolů)
Transformation	Mirror vertical	180° (dolů/vlevo)
Transformation	Rotate 180	180° (dolů/vpravo)
Transformation	Rotate 270 CW	90° po směru HR (vlevo/dolů)
Transformation	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
Trapped	Unknown	Neznámý
UserDef1PictureStyle	Landscape	Krajina
UserDef1PictureStyle	Portrait	Portrét
UserDef2PictureStyle	Landscape	Krajina
UserDef2PictureStyle	Portrait	Portrét
UserDef3PictureStyle	Landscape	Krajina
UserDef3PictureStyle	Portrait	Portrét
VignetteControl	Normal	Normální
WBAdjLighting	Daylight (cloudy)	Denní světlo (2)
WBAdjLighting	Daylight (direct sunlight)	Denní světlo (0)
WBAdjLighting	Daylight (shade)	Denní světlo (1)
WBAdjLighting	Flash	Blesk
WBAdjLighting	None	Žádná
WhiteBalance	Auto	Automatické vyvážení bílé
WhiteBalance	Black & White	Černobílé foto
WhiteBalance	Cloudy	Zataženo
WhiteBalance	Cool White Fluorescent	Chladná bílá fluorescentní
WhiteBalance	Custom 1	VLASTNÍ1
WhiteBalance	Custom 2	VLASTNÍ2
WhiteBalance	Custom 3	VLASTNÍ3
WhiteBalance	Custom 4	VLASTNÍ4
WhiteBalance	Day White Fluorescent	Denní zářivka
WhiteBalance	Daylight	Denní světlo
WhiteBalance	Daylight Fluorescent	Denní světlo
WhiteBalance	Flash	Blesk
WhiteBalance	Fluorescent	Žárovka
WhiteBalance	Manual	Manuální
WhiteBalance	Shade	Stíny
WhiteBalance	Tungsten	Zářivka
WhiteBalance	Unknown	Neznámý
WhiteBalance	White Fluorescent	Bílá zářivka
WhiteBalanceAdj	Cloudy	Zataženo
WhiteBalanceAdj	Daylight	Denní světlo
WhiteBalanceAdj	Flash	Blesk
WhiteBalanceAdj	Fluorescent	Žárovka
WhiteBalanceAdj	Shade	Stíny
WhiteBalanceAdj	Tungsten	Zářivka
WhiteBalanceMode	Unknown	Neznámý
WhiteBalanceSet	Cloudy	Zataženo
WhiteBalanceSet	Daylight	Denní světlo
WhiteBalanceSet	Daylight Fluorescent	Denní světlo
WhiteBalanceSet	Flash	Blesk
WhiteBalanceSet	Manual	Manuální
WhiteBalanceSet	Shade	Stíny
WhiteBalanceSet	Tungsten	Zářivka
WhiteBalanceSet	White Fluorescent	Bílá zářivka
YCbCrPositioning	Centered	Centrované
YCbCrPositioning	Co-sited	Po stranách
